stateid,year,gdp millions,gdpgrowth,population,net sales of gasoline,gross sales of gasoline,net sales of diesel oil,vehicles sales monthly (units),vehicles sales monthly (th $),vehicles sales yearly (units),vehicles sales yearly (th $),cpi,co2 total,co2 household,co2 industries,trans_exp_pc,unemp_rate,state
4,2004,"1,705",0.0499,31689,62306,64264,41453,,,,,,,,,,,Yukon
4,2005,"1,741",0.0211,32128,61025,63290,44772,,,,,,,,,,,Yukon
4,2006,"1,827",0.0494,32361,61536,63839,43137,,,,,,,,,3360.7,,Yukon
4,2007,"1,918",0.0498,32662,60741,62816,43789,,,,,,,,,2948.6,,Yukon
4,2008,"2,112",0.1011,33306,62797,64950,46827,,,,,,,,,3231.6,,Yukon
4,2009,"2,252",0.0663,34025,67053,69738,50197,,,,,,587,141,446,3419.2,,Yukon
4,2010,"2,343",0.0404,34789,70133,71502,55958,,,,,,662,151,512,2865.2,,Yukon
4,2011,"2,460",0.0499,35668,71641,72336,63585,,,,,,709,155,554,2793.3,,Yukon
4,2012,"2,554",0.0382,36425,68821,69513,60227,,,,,,714,148,566,3135,,Yukon
4,2013,"2,591",0.0145,36448,63744,64190,52852,,,,,,638,147,490,3134.5,,Yukon
4,2014,"2,611",0.0077,37272,63621,64184,54899,,,,,,466,113,353,3701.5,,Yukon
4,2015,"2,405",-0.0789,37751,68507,68931,57247,,,,,,511,111,400,3679.3,,Yukon
4,2016,"2,571",0.069,38745,70766,71816,55802,,,,,,440,115,325,3429.1,,Yukon
4,2017,"2,651",0.0311,39781,72077,76438,54879,,,,,,,,,,,Yukon
5,1999,"158,156",,4021600,4489276,4668249,1208936,14350,461497,172200,5537964,94.7,68041,14709,53332,,,British Columbia
5,2000,"165,352",0.0455,4049297,4406399,4614710,1370074,14646,456218,175752,5474616,97,68957,14691,54266,,7.1,British Columbia
5,2001,"166,411",0.0064,4085648,4460565,4647147,1329901,15836,500780,190032,6009360,97.4,69759,14833,54926,,9.8,British Columbia
5,2002,"172,779",0.0383,4108400,4532446,4722426,1418915,16324,520565,195888,6246780,100.8,70359,14917,55442,,9.1,British Columbia
5,2003,"176,694",0.0227,4134638,4512548,4712238,1515135,14242,471844,170904,5662128,102.6,70854,14846,56008,,7.4,British Columbia
5,2004,"183,620",0.0392,4167810,4543450,4751290,1647352,15375,506908,184500,6082896,104.8,71042,14983,57314,,6.4,British Columbia
5,2005,"192,772",0.0498,4212666,4507834,4701388,1681135,15400,523614,184800,6283368,106.7,72297,15021,57276,,5,British Columbia
5,2006,"201,283",0.0442,4258655,4524469,4719356,1721635,17339,605857,208068,7270284,108.8,72627,15194,57433,583.5,5,British Columbia
5,2007,"207,527",0.031,4312042,4554406,4749604,1796611,16400,587130,196800,7045560,110.1,73041,15475,57566,632.2,4.1,British Columbia
5,2008,"209,033",0.0073,4371124,4467255,4619653,1714031,11258,385915,135096,4630980,111.4,73182,15234,57948,508.8,5.8,British Columbia
5,2009,"204,009",-0.024,4431576,4536112,4646008,1647876,13378,493356,160536,5920272,111.9,71849,14094,55003,520.5,8.3,British Columbia
5,2010,"209,721",0.028,4483609,4560666,4715626,1838578,12540,440868,150480,5290416,114.6,70617,13972,57420,595.2,7.3,British Columbia
5,2011,"216,095",0.0304,4525684,4537496,4741085,2221338,13014,455551,156168,5466612,116.5,70092,14151,57073,508.2,7.1,British Columbia
5,2012,"221,413",0.0246,4590545,4348707,4682115,1761637,13361,486176,160332,5834112,117,71126,14019,58780,519.4,6.7,British Columbia
5,2013,"226,325",0.0222,4658875,4336807,4504633,2145516,13283,502391,159396,6028692,117,71453,14514,59318,530.8,7,British Columbia
5,2014,"234,716",0.0371,4737725,4422297,4687564,1922523,16367,635698,196404,7628376,118.1,71862,14298,59657,489.6,5.4,British Columbia
5,2015,"239,722",0.0213,4802955,4656988,5481062,1852896,16388,683182,196656,8198184,120.4,72135,14539,59154,495.9,6.8,British Columbia
5,2016,"247,426",0.0321,4881391,4893207,5770067,1837722,16570,722601,198840,8671212,122.7,72492,15105,59091,503.7,5.8,British Columbia
5,2017,"256,875",0.0382,4945559,4935834,5182517,1910156,16167,751783,194004,9021396,125.2,73056,15026,58030,512.7,4.6,British Columbia
6,1999,"205,922",,2966682,4491300,4831000,1973800,16004,545576,192048,6546912,92.7,192934,16609,176325,,,Alberta
6,2000,"218,594",0.0615,3016947,4548300,4856800,2173500,15544,519267,186528,6231204,96.3,195671,16697,178974,,5,Alberta
6,2001,"222,168",0.0163,3078336,4646200,4959700,2293900,17465,564085,209580,6769020,95.4,197952,16804,181148,,5.3,Alberta
6,2002,"227,266",0.0229,3144926,4778900,5049100,2285900,18238,605102,218856,7261224,103.3,200319,16892,183427,,5.1,Alberta
6,2003,"235,136",0.0346,3197858,4770900,5065600,2496100,14835,523367,178020,6280404,104.6,202927,16921,186006,,4.8,Alberta
6,2004,"248,236",0.0557,3260590,4831900,5115800,2715800,17005,599328,204060,7191936,106.4,205823,17498,188325,,4.4,Alberta
6,2005,"259,194",0.0441,3346754,4884300,5146600,3008500,18795,693510,225540,8322120,109,209760,17256,192504,,4.2,Alberta
6,2006,"275,661",0.0635,3453944,5139600,5368100,3373400,21587,807343,259044,9688116,114.2,217813,17647,200166,406.3,3.5,Alberta
6,2007,"280,462",0.0174,3533413,5298000,5536200,3580000,20240,753783,242880,9045396,118.9,223419,18326,205093,548.5,3.5,Alberta
6,2008,"284,982",0.0161,3619292,5317300,5608400,3488800,15457,545191,185484,6542292,121.2,227115,18749,208366,643.9,4.6,Alberta
6,2009,"269,179",-0.0555,3694303,5350400,5569300,3632700,15874,566473,190488,6797676,121.9,235710,19310,216399,855.3,6.8,Alberta
6,2010,"282,552",0.0497,3747226,5410900,5618300,3629600,16272,708830,195264,8505960,122.9,243990,19052,224938,716.5,5.9,Alberta
6,2011,"300,775",0.0645,3807726,5774000,5973000,3863300,17965,697303,215580,8367636,126.5,248772,19123,229649,715.5,4.9,Alberta
6,2012,"312,481",0.0389,3900333,6001700,6221400,4054000,17845,706782,214140,8481384,126.5,259730,19638,240092,662.1,4.6,Alberta
6,2013,"330,321",0.0571,4010903,6199500,6369700,4204500,19262,785262,231144,9423144,129.1,271120,20901,250219,596.8,4.8,Alberta
6,2014,"349,746",0.0588,4106056,6401100,6566200,4461400,20366,871855,244392,10462260,131.5,275367,21525,253842,544.9,4.8,Alberta
6,2015,"336,776",-0.0371,4159519,6402500,6579700,4019200,15864,682800,190368,8193600,133.5,273719,19700,254019,592.5,7.2,Alberta
6,2016,"322,681",-0.0419,4210052,6297500,6467100,3525100,16403,741736,196836,8900832,134.9,268838,18509,250329,611.3,8.7,Alberta
6,2017,"336,773",0.0437,4262642,6368800,6554600,3862500,16477,776130,197724,9313560,137.6,266741,18645,248096,628.1,6.8,Alberta
7,1999,"59,928",,1012582,1366647,1617272,811645,3281,107894,39372,1294728,92.6,62197,5214,56983,,,Saskatchewan
7,2000,"61,487",0.026,1006027,1292393,1551799,833144,3016,99732,36192,1196784,96.3,64352,5480,58872,,5.2,Saskatchewan
7,2001,"60,971",-0.0084,999175,1054694,1572399,854377,3781,122614,45372,1471368,97.2,62836,5538,57298,,6.1,Saskatchewan
7,2002,"60,766",-0.0034,996279,1269309,1557924,819207,3995,131386,47940,1576632,101.4,64729,5628,59101,,6,Saskatchewan
7,2003,"63,541",0.0457,996555,1271865,1543043,856147,3534,120280,42408,1443360,102.7,66391,5612,60779,,5.7,Saskatchewan
7,2004,"66,588",0.048,996993,1227099,1501549,905789,3238,109645,38856,1315740,105.8,65427,5599,59828,,5.4,Saskatchewan
7,2005,"68,339",0.0263,993288,1176858,1513504,955799,3294,112380,39528,1348560,107.3,66379,5830,60549,,5.3,Saskatchewan
7,2006,"67,321",-0.0149,993361,1160399,1502063,1009216,3607,132327,43284,1587924,108.9,65639,5910,59729,349.2,4.3,Saskatchewan
7,2007,"69,812",0.037,1007323,1219892,1570195,1086998,4078,150887,48936,1810644,112.9,66573,5882,60691,436.2,4.1,Saskatchewan
7,2008,"73,481",0.0526,1022553,1254365,1608250,1191964,3432,122538,41184,1470456,115.8,67147,5967,61180,585.5,4.5,Saskatchewan
7,2009,"69,559",-0.0534,1039554,1354844,1696273,1172376,3621,130735,43452,1568820,117.1,68263,6025,62238,552.9,5,Saskatchewan
7,2010,"72,816",0.0468,1056115,1353666,1677169,1231752,3719,134165,44628,1609980,119.4,67447,6469,60978,567.2,5.4,Saskatchewan
7,2011,"76,658",0.0528,1070687,1414017,1726192,1390009,4272,158188,51264,1898256,122.4,66846,5535,61311,558.8,4.8,Saskatchewan
7,2012,"77,957",0.0169,1088959,1403561,1733074,1404366,4221,154820,50652,1857840,123.3,69105,6084,63020,533.6,4.7,Saskatchewan
7,2013,"83,060",0.0655,1103730,1532344,1818614,1356060,4068,159213,48816,1910556,126.1,71772,6559,65213,564.7,4.2,Saskatchewan
7,2014,"84,736",0.0202,1116203,1533884,1851356,1471550,4351,179034,52212,2148408,128.3,74646,6172,68475,616.6,4,Saskatchewan
7,2015,"83,966",-0.0091,1124919,1518898,1842055,1314643,3806,166318,45672,1995816,130.6,76766,6137,70629,695.4,5.7,Saskatchewan
7,2016,"83,663",-0.0036,1140773,1581651,1891523,1255995,3574,158337,42888,1900044,131.4,73652,6198,67454,702.4,6.7,Saskatchewan
7,2017,"85,536",0.0224,1155034,1730149,1874594,1439862,3732,169991,44784,2039892,135.9,74923,6176,68747,711.2,6.6,Saskatchewan
8,1999,"43,956",,1143618,1296423,1479682,457772,3710,118483,44520,1421796,94.6,17458,3187,14271,,,Manitoba
8,2000,"45,823",0.0425,1148183,1304807,1496909,459958,3326,105596,39912,1267152,97.4,17992,3054,14938,,5.3,Manitoba
8,2001,"46,305",0.0105,1152150,1322522,1499917,469804,3888,122913,46656,1474956,97.6,18331,3262,15069,,5,Manitoba
8,2002,"47,100",0.0172,1157298,1360651,1528499,486941,4311,140851,51732,1690212,101.3,18709,3329,15380,,5,Manitoba
8,2003,"47,726",0.0133,1165530,1363185,1536297,488185,3303,118104,39636,1417248,102,19651,3548,16103,,5.2,Manitoba
8,2004,"48,912",0.0249,1174675,1347594,1520802,525835,3438,115287,41256,1383444,105.5,19897,3459,16438,,5.2,Manitoba
8,2005,"50,279",0.0279,1179086,1328805,1497624,545585,3616,127864,43392,1534368,106.9,20241,3604,16637,,4.5,Manitoba
8,2006,"52,128",0.0368,1183981,1331046,1469050,560428,4039,144544,48468,1734528,108.7,20123,3664,16459,311.6,4.4,Manitoba
8,2007,"53,456",0.0255,1191690,1364554,1514653,692065,3785,126688,45420,1520256,110.9,19842,3884,15958,429.1,4.5,Manitoba
8,2008,"55,410",0.0366,1199548,1375752,1527789,737729,3317,109761,39804,1317132,113,19953,3791,16162,450.8,4.6,Manitoba
8,2009,"55,325",-0.0015,1211875,1412998,1572473,727478,3423,115358,41076,1384296,114.2,19612,3826,15786,546.4,5.7,Manitoba
8,2010,"56,676",0.0244,1224662,1422310,1586063,784956,3340,121609,40080,1459308,115.6,19347,4091,15256,482.5,5.4,Manitoba
8,2011,"58,032",0.0239,1238019,1444079,1607160,781078,3859,135106,46308,1621272,118.6,19126,3919,15207,470.7,5.5,Manitoba
8,2012,"59,781",0.0301,1254178,1478441,1586801,777907,3840,143460,46080,1721520,120.2,19423,4467,15956,480.3,5,Manitoba
8,2013,"61,514",0.029,1268428,1524455,1609000,788827,3530,130806,42360,1569672,122.7,19408,4684,16424,509.1,5.7,Manitoba
8,2014,"62,788",0.0207,1283366,1550600,1633533,814767,3914,151418,46968,1817016,124.5,19514,4684,16520,630.3,5.4,Manitoba
8,2015,"63,520",0.0117,1297329,1566091,1665760,794019,4195,175476,50340,2105712,126.4,20151,4269,16682,724.6,5.8,Manitoba
8,2016,"64,512",0.0156,1320057,1588529,1702545,774002,4013,167982,48156,2015784,127.8,20783,4436,16647,742.5,6.2,Manitoba
8,2017,"66,596",0.0323,1340776,1614445,1716933,799760,4341,185452,52092,2225424,131.5,21358,4598,16760,758.8,5.8,Manitoba
9,1999,"532,837",,11559464,13734980,14374872,4028500,56998,1747347,683976,20968164,93.4,151211,44983,106228,,,Ontario
9,2000,"566,593",0.0634,11748348,13868131,14553798,4335000,48643,1454915,583716,17458980,96.6,150314,45814,104500,,6.1,Ontario
9,2001,"576,870",0.0181,11961789,14342128,14520878,4355105,58560,1776501,702720,21318012,97.7,154457,46228,108229,,7.2,Ontario
9,2002,"596,353",0.0338,12146053,14943145,15135135,4561028,59743,1862947,716916,22355364,100.4,153881,48027,105854,,7,Ontario
9,2003,"603,060",0.0112,12291669,15381530,15549036,5029839,44856,1485436,538272,17825232,103.4,157642,47911,109731,,6.7,Ontario
9,2004,"620,035",0.0281,12437664,15505570,15693065,5303501,46200,1554574,554400,18654888,105.3,159153,48443,109199,,7.1,Ontario
9,2005,"639,979",0.0322,12578931,15338069,15576477,5430385,47889,1590512,574668,19086144,107.6,161234,49079,112155,,6.4,Ontario
9,2006,"651,929",0.0187,12700994,15268667,15507629,5384342,49781,1668903,597372,20026836,108.8,167185,48722,118463,322.7,6.2,Ontario
9,2007,"657,164",0.008,12807208,15702107,15840468,5380481,47060,1609319,564720,19311828,111.1,166573,50063,116510,395,6.8,Ontario
9,2008,"657,144",0,12927148,15443375,15667959,5132435,35481,1179535,425772,14154420,112.8,169442,51542,117900,315.9,7.5,Ontario
9,2009,"636,638",-0.0312,13047485,15699670,15849943,4760095,43360,1446979,520320,17363748,114.1,171422,51810,119611,193.3,9.2,Ontario
9,2010,"655,417",0.0295,13189339,15780676,15948319,4986523,43557,1576981,522684,18923772,117.9,181749,52951,128799,191.2,8.1,Ontario
9,2011,"671,204",0.0241,13308659,15613137,15966493,5020838,42477,1442319,509724,17307828,120.3,180906,55056,125850,198.3,7.6,Ontario
9,2012,"680,085",0.0132,13434943,15575798,15792909,5043892,41699,1411358,500388,16936296,121.3,176285,50979,125306,309.3,8,Ontario
9,2013,"689,448",0.0138,13558528,16410257,16656023,5171298,44769,1570311,537228,18843732,123.1,175242,54808,120434,318.2,7.8,Ontario
9,2014,"706,503",0.0247,13661314,15991007,16178215,4942571,54330,1974961,651960,23699532,125.4,172645,55004,117641,338.3,7.1,Ontario
9,2015,"723,856",0.0246,13757688,16261317,16513973,5432052,56970,2175037,683640,26100444,127.5,170578,53633,116945,385.4,6.8,Ontario
9,2016,"740,712",0.0233,13945524,16621660,16889889,5457061,53104,2156808,637248,25881696,130,166645,51906,114738,402.8,6.6,Ontario
9,2017,"761,305",0.0278,14153806,16669930,16892647,5461637,54276,2342730,651312,28112760,132,168522,52504,116018,417.4,5.7,Ontario
10,1999,"279,868",,7334722,7717499,7772208,3075109,29641,844629,355692,10135548,94.1,88435,27392,61043,,,Quebec
10,2000,"292,279",0.0443,7368772,7858795,7928068,2922047,23717,602303,284604,7227636,96.8,90052,27704,62348,,7.8,Quebec
10,2001,"297,283",0.0171,7411504,7621810,7735416,2899166,28236,790491,338832,9485892,97.9,90637,27512,63125,,9.5,Quebec
10,2002,"305,902",0.029,7455892,7885344,7976879,3002660,31452,885328,377424,10623936,101.3,90711,28367,62344,,8.4,Quebec
10,2003,"309,553",0.0119,7503709,7958452,8168659,3111707,24640,708033,295680,8496396,102.7,90562,28502,62060,,9.2,Quebec
10,2004,"317,272",0.0249,7553651,8309692,8366904,3293206,25474,763025,305688,9156300,105.2,91288,28633,62655,,8.6,Quebec
10,2005,"321,916",0.0146,7598887,8186886,8289887,3242833,25164,747225,301968,8966700,107.4,91974,29841,62133,,8.2,Quebec
10,2006,"325,701",0.0118,7653092,8159065,8230895,3193472,26812,824923,321744,9899076,108.7,92552,29452,63100,455.5,7.6,Quebec
10,2007,"333,619",0.0243,7713173,8361886,8441464,3176610,23786,703891,285432,8446692,111.1,93049,29771,63278,536.7,7,Quebec
10,2008,"340,079",0.0194,7786475,8191537,8287272,2929446,21582,651153,258984,7813836,111.7,94114,29883,64231,685.2,7.8,Quebec
10,2009,"337,242",-0.0083,7871361,8110994,8388442,2948481,25785,800826,309420,9609912,114,94280,30018,64262,585.2,8.5,Quebec
10,2010,"343,968",0.0199,7955007,8269968,8550071,2953111,27399,880018,328788,10560216,115.8,92398,30460,61938,627.9,7.3,Quebec
10,2011,"350,417",0.0187,8021860,8362093,8735461,3117994,28142,842049,337704,10104588,118.7,94066,31693,62373,654.8,8.7,Quebec
10,2012,"354,044",0.0104,8078388,8342269,8628479,3127333,23801,742557,285612,8910684,120.5,91998,31121,60878,875.7,7.4,Quebec
10,2013,"358,723",0.0132,8124660,8188958,8607609,2958876,23096,781313,277152,9375756,121.5,91667,31418,60250,1224.1,7.7,Quebec
10,2014,"364,320",0.0156,8165447,8217102,8342505,3207281,26524,893011,318288,10716132,122.8,89961,30948,59012,1166.3,7.4,Quebec
10,2015,"367,529",0.0088,8190014,8816261,9035470,3176703,26430,933669,317160,11204028,124.4,91532,31020,60512,1241.8,7.9,Quebec
10,2016,"372,690",0.014,8249071,8323117,8703110,2780097,26654,1023148,319848,12277776,125.2,90573,31706,58866,1342.2,6.7,Quebec
10,2017,"383,144",0.0281,8329664,8820509,9097393,3042434,25154,1005200,301848,12062400,127.5,90751,32184,58567,1407.3,5,Quebec
11,1999,"26,596",,750643,1053862,1059736,474232,3513,105175,42156,1262100,93.4,16866,2896,13970,,,New Brunswick
11,2000,"27,151",0.0209,750252,1019441,1047380,453306,2650,78832,31800,945984,96,17394,2881,14513,,9.9,New Brunswick
11,2001,"27,640",0.018,749295,1041519,1063630,409974,2953,86935,35436,1043220,96.4,17522,3098,14424,,11.3,New Brunswick
11,2002,"28,963",0.0479,749408,1065779,1078608,431026,3283,95301,39396,1143612,102.4,17926,3203,14723,,10.2,New Brunswick
11,2003,"29,686",0.025,749463,1027076,1054882,458788,2298,74226,27576,890712,102.9,18377,3194,15183,,9.5,New Brunswick
11,2004,"30,434",0.0252,749243,1024339,1040150,457890,2362,72879,28344,874548,105.6,18469,3269,15200,,9.2,New Brunswick
11,2005,"30,673",0.0079,747672,956802,979326,480374,2294,68405,27528,820860,108.3,18965,3307,15658,,9.4,New Brunswick
11,2006,"31,305",0.0206,744975,983830,1007062,466058,2695,83291,32340,999492,109.1,18783,3465,15318,574.8,8.4,New Brunswick
11,2007,"31,589",0.0091,746138,1033704,1059780,480268,2425,76268,29100,915216,111.9,19592,3352,16240,1241,8,New Brunswick
11,2008,"31,831",0.0077,747769,1012067,1055531,468689,2153,62710,25836,752520,111.2,19874,3489,16385,712.8,8.5,New Brunswick
11,2009,"31,372",-0.0144,751066,1086509,1116036,452303,2534,80994,30408,971928,114.5,20747,3660,17087,745.3,8.6,New Brunswick
11,2010,"31,993",0.0198,754287,1107484,1132432,478245,2483,81894,29796,982728,116.6,20026,3827,16199,834.2,9.5,New Brunswick
11,2011,"32,077",0.0026,756420,1068631,1102869,472237,2654,82550,31848,990600,120.4,20705,4409,16296,584.6,9.2,New Brunswick
11,2012,"31,722",-0.0111,758673,1070276,1111923,427456,2279,74015,27348,888180,121.2,18782,4175,14607,1189.9,10.2,New Brunswick
11,2013,"31,633",-0.0028,758670,1058603,1109314,370677,2275,78358,27300,940296,123.5,16781,3498,13283,518.6,10.2,New Brunswick
11,2014,"31,676",0.0014,759524,1054921,1107392,381275,2622,94407,31464,1132884,124.1,16115,3384,12730,544.4,10.3,New Brunswick
11,2015,"31,882",0.0065,759778,1088993,1154578,428083,2771,107431,33252,1289172,125.5,16357,3854,12503,671.4,9.1,New Brunswick
11,2016,"32,323",0.0138,764878,1100832,1183883,405455,2445,96572,29340,1158864,128.4,17627,4085,13542,706.3,9.2,New Brunswick
11,2017,"32,916",0.0183,768212,1128764,1179831,478696,2603,108827,31236,1305924,132.1,17909,4123,13786,724.8,7.6,New Brunswick
12,1999,"31,092",,935941,1157551,1168058,344394,3337,94792,40044,1137504,93.5,17257,4109,13148,,,Nova Scotia
12,2000,"32,016",0.0297,934459,1191306,1206114,352916,3049,82277,36588,987324,96.8,18696,4255,14441,,9.2,Nova Scotia
12,2001,"32,980",0.0301,933336,1179199,1206604,360323,3359,92694,40308,1112328,96.6,19549,4273,15276,,10.1,Nova Scotia
12,2002,"34,394",0.0429,935968,1202711,1216679,365077,3817,111547,45804,1338564,101.6,20878,4357,16521,,9.1,Nova Scotia
12,2003,"34,766",0.0108,938790,1214712,1220905,396459,3312,96648,39744,1159776,103.1,20459,4508,15951,,8.7,Nova Scotia
12,2004,"35,036",0.0078,939884,1208913,1214597,418771,3097,89873,37164,1078476,106.4,21492,4694,16798,,9.2,Nova Scotia
